,book_name,format,date,author,original_price,sale_price,cost_saved,discount_%,order_type
242,One Piece: Pirate Recipes,Hardback,2022-02-03,Sanji,11.5,17.45,1.85,16.0,Pre-order
243,No Longer Human,Hardback,2020-01-09,Junji Ito,19.5,27.4,2.05,10.0,Add to basket
244,The 48 Laws Of Power,Paperback,2000-11-20,Robert Greene,31.5,15.57,4.1,13.0,Add to basket
245,Death to Jar Sauce,Paperback,2021-11-16,Nat's What I Reckon,22.5,38.26,6.93,30.0,Add to basket
246,Entangled Life,Paperback,2021-09-02,Merlin Sheldrake,14.5,10.77,3.73,25.0,Add to basket
247,The Power of Geography,Paperback,2021-10-01,Tim Marshall,12.5,10.08,2.42,19.0,Add to basket
248,Ego is the Enemy,Paperback,2018-10-31,Ryan Holiday,13.0,8.34,4.66,35.0,Add to basket
249,The Deal,Paperback,2015-02-24,Elle Kennedy,,18.83,,,Add to basket
250,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 14,Paperback,2022-01-18,Rifujin Na Magonote,15.0,13.42,1.58,10.0,Pre-order
251,The Last Wish,Hardback,2021-12-16,Andrzej Sapkowski,25.0,19.19,5.81,23.0,Add to basket
252,The Gorillaz Art Book,Hardback,2022-04-26,Jamie Hewlett,28.5,25.51,2.99,10.0,Pre-order
253,You'll Be the Death of Me,Paperback,2021-12-02,Karen M. McManus,10.5,7.87,2.63,25.0,Add to basket
254,Why We Sleep,Paperback,2018-10-31,Matthew Walker,13.5,11.19,2.31,17.0,Add to basket
255,Quiet,Paperback,2018-10-31,Susan Cain,13.0,9.29,3.71,28.0,Add to basket
256,Principles,Hardback,2017-11-06,Ray Dalio,30.0,21.56,8.44,28.0,Add to basket
257,The Fine Print Special Edition,Paperback,2021-07-08,Lauren Asher,19.3,14.51,4.79,24.0,Add to basket
258,Dead Poets Society,Paperback,2006-12-07,N.H. Kleinbaum,9.5,7.12,2.38,25.0,Add to basket
259,Supercharge Your Brain,Paperback,2022-01-13,James Goodwin,14.0,13.2,0.8,5.0,Add to basket
260,The Storyteller,Hardback,2021-10-05,Dave Grohl,24.5,17.15,7.35,29.0,Add to basket
261,Never Let Me Go,Paperback,2010-02-01,Kazuo Ishiguro,12.0,8.38,3.62,30.0,Add to basket
262,The Whole-Brain Child,Paperback,2018-11-29,Daniel J. Siegel,17.5,13.41,4.09,23.0,Add to basket
263,Greenlights,Paperback,2021-11-02,Matthew McConaughey,19.5,13.78,5.72,29.0,Add to basket
264,Jade City,Paperback,2018-06-28,Fonda Lee,13.0,10.77,2.23,17.0,Add to basket
265,All the Light We Cannot See,Paperback,2015-05-01,Anthony Doerr,11.5,9.5,2.0,17.0,Add to basket
266,Assassin's Apprentice,Paperback,2014-03-27,Robin Hobb,12.0,8.83,3.17,26.0,Add to basket
267,Heart Bones,Paperback,2020-08-24,Colleen Hoover,13.16,12.37,0.79,6.0,Add to basket
268,"Ao Haru Ride, Vol. 6",Paperback,2019-09-05,Io Sakisaka,10.5,8.38,2.12,20.0,Add to basket
269,The Perks of Being a Wallflower,Paperback,2009-02-10,Stephen Chbosky,10.5,7.78,2.72,25.0,Add to basket
